ext_id,category,name,address,lat,lng,capacity,detail,tel
3000000-S200700223,civil_defense,진형빌딩 지하1층,"서울특별시 종로구 종로 386, 진형빌딩 지하1층 (숭인동)",37.57420241053118,127.02020769406877,734,지하,
3000000-S200700058,civil_defense,교보생명빌딩 지하2~3층,"서울특별시 종로구 종로 1 (종로1가, 교보생명빌딩)",37.57056298975325,126.97779632168667,13410,지하,
3000000-S201000013,civil_defense,"성균관대학교 600주년기념관 지하2,3,4층","서울특별시 종로구 성균관로 25-2 (명륜3가, 성균관대학교)",37.584907418653266,126.99694886505671,6814,지하,
3000000-S200700140,civil_defense,독립문초등학교 지하1층,"서울특별시 종로구 통일로12길 23 (무악동, 독립문초등학교)",37.5739210911845,126.960580264274,495,지하,
3000000-S200700181,civil_defense,명륜교회 지하1층,"서울특별시 종로구 혜화로3길 6 (명륜1가, 명륜교회)",37.586357465815084,126.99998391515038,1938,지하,
3000000-S200700053,civil_defense,한국무역보험공사빌딩 지하2~4층,"서울특별시 종로구 종로 14 (서린동, 한국무역보험공사빌딩)",37.569897454895354,126.9789611078794,5102,지하,
3000000-S200700088,civil_defense,국일관 드림팰리스 지하3~6층,"서울특별시 종로구 수표로 96 (관수동, 국일관 드림팰리스)",37.569735429166876,126.98964156894425,8201,지하,
3000000-S200700063,civil_defense,이마빌딩 지하2~3층,"서울특별시 종로구 종로1길 42 (수송동, 이마빌딩)",37.57401456320851,126.9787719639739,4706,지하,
3000000-S200700094,civil_defense,종로4가지하상가 지하1층,서울특별시 종로구 종로 191-3 (종로4가),37.57096318997764,126.99902651538419,1682,지하,
3000000-S200700026,civil_defense,우리은행창신동지점 지하1층,"서울특별시 종로구 종로 311 (창신동, (주)우리은행창신동지점)",37.572209721406836,127.01227833594984,132,지하,
3000000-S201200002,civil_defense,두산위브파빌리온 지하2~3층,"서울특별시 종로구 삼봉로 81 (수송동, 두산위브파빌리온)",37.57231070783611,126.98173388739141,8056,지하,
3000000-S200700128,civil_defense,현대해상본사빌딩 지하2층,"서울특별시 종로구 세종대로 163, 현대해상빌딩 지하1~2층 (세종로)",37.57094655999557,126.97635053972563,1696,지하,
3000000-S201000003,civil_defense,금호팔레스빌딩 지하1~2층,"서울특별시 종로구 지봉로 29 (창신동, 금호팔레스빌딩)",37.57260821996063,127.01537699507948,1875,지하,
3000000-S200700191,civil_defense,지하철1호선 종로5가역 대합실 승강장 지하2층,"서울특별시 종로구 종로 지하 216 (종로5가, 1호선 종로5가역)",37.57082788874661,127.00162372668713,10465,지하,
3000000-S200700046,civil_defense,KT혜화지사 지하1층 체력단련실,"서울특별시 종로구 대학로 65 (연건동, KT혜화지사)",37.57712822294289,127.00197551015674,216,지하,
3000000-S200700071,civil_defense,피카디리플러스 지하5~7층,"서울특별시 종로구 돈화문로5가길 1 (돈의동, 피카디리플러스)",37.57089531941018,126.99163154831209,6471,지하,
3000000-S200700193,civil_defense,여전도회관 지하1층,"서울특별시 종로구 율곡로 190 (연지동, 여전도회관)",37.5757573320574,126.99976785835281,2354,지하,
3000000-S200700080,civil_defense,지하철1호선 종로3가역 대합실 승강장 지하1~2층,"서울특별시 종로구 종로 지하 129 (종로3가, 1호선 종로3가역)",37.57051667376227,126.99200033168535,9311,지하,
3000000-S200700054,civil_defense,연합뉴스빌딩 지하2~3층,"서울특별시 종로구 율곡로2길 25 (수송동, 연합뉴스빌딩)",37.574555372450554,126.98040580939718,5856,지하,
3000000-S201000006,civil_defense,지하철1호선 동대문역 대합실 승강장,"서울특별시 종로구 종로 지하 302 (창신동, 1호선 동대문역)",37.5717781999383,127.011183131881,5490,지하,
3000000-S200700122,civil_defense,세종로공영주차장 지하1~5층,"서울특별시 종로구 세종대로 지하189, 세종로지하주차장 지하1~5층 (세종로)",37.573278995596375,126.97627827994586,35540,지하,
3000000-S200700020,civil_defense,서울대학교병원 융합의학기술원(정림빌딩)지하2층 강당,"서울특별시 종로구 율곡로 214 (연건동, 정림빌딩)",37.575940762389344,127.00263963295401,405,지하,
3000000-S200700027,civil_defense,지하철3호선 안국역 지하1~3층 대합실 승강장,"서울특별시 종로구 율곡로 지하62, 3호선 안국역 (안국동)",37.57677456605093,126.98608594405776,10438,지하,
3000000-S200700184,civil_defense,"동원빌딩, 한성대학교에듀센터 지하1층","서울특별시 종로구 창경궁로 254 (명륜2가, 동원빌딩)",37.583883601835424,126.999988031098,574,지하,
3000000-S200700043,civil_defense,한국방송통신대학교 본관 지하1층~3층 주차장,"서울특별시 종로구 대학로 86, 한국방송통신대학 지하1-3층 (동숭동)",37.57873107512708,127.00246916120466,13159,지하,
3000000-S201100001,civil_defense,인왕산아이파크아파트 주차장 지하2층,"서울특별시 종로구 통일로18길 9 (무악동, 인왕산아이파크)",37.5766847357427,126.95669422486,1295,지하,
3000000-S200700154,civil_defense,종로구민회관 지하2층,"서울특별시 종로구 지봉로5길 7-5 (창신동, 종로구구민회관, 보건소통합청)",37.57342692677644,127.01469280943157,608,지하,
3000000-S201900001,civil_defense,경희궁롯데캐슬아파트 지하2층,"서울특별시 종로구 통일로 230 (무악동, 경희궁 롯데캐슬)",37.5735096052491,126.959437074142,9490,지하,
3000000-S200700216,civil_defense,서진빌딩 지하1층,"서울특별시 종로구 난계로 247, 서진빌딩 지하1층 (숭인동)",37.57368581043283,127.02306559323218,545,지하,
3000000-S200700196,civil_defense,삼양사 지하1층,"서울특별시 종로구 종로33길 31 (연지동, 삼양사)",37.572562461216386,127.00155558443876,2540,지하,
3000000-S200700079,civil_defense,지하철3호선 종로3가역 대합실 승강장 지하1~4층,"서울특별시 종로구 돈화문로 지하 30 (묘동, 3호선 종로3가역)",37.57117082081028,126.99204240275674,14803,지하,
3000000-S201000007,civil_defense,지하철4호선 동대문역 대합실 지하4층 승강장,"서울특별시 종로구 율곡로 지하 308 (종로6가, 4호선동대문역)",37.57037804253119,127.0093889498207,3431,지하,
3000000-S201100002,civil_defense,지하철5호선 광화문역 지하1~3층 대합실 승강장,"서울특별시 종로구 세종대로 지하172, 5호선 광화문역 지하1~3층 (세종로)",37.5716249337359,126.976767922168,10051,지하,
3000000-S200700186,civil_defense,지하철4호선 혜화역 대합실 승강장,"서울특별시 종로구 대학로 지하 120 (명륜4가, 4호선 혜화역)",37.581847283728614,127.00200679680854,5496,지하,
3000000-S200700138,civil_defense,무악현대아파트 지하1층,"서울특별시 종로구 통일로 246-20, 110동 지하1층 (무악동, 무악현대아파트)",37.57476316686315,126.95934212140527,2970,지하,
